id,name,value
1001,Autauga County,0.551311282
1003,Baldwin County,0.495819209
1005,Barbour County,0.382095877
1007,Bibb County,0.506440511
1009,Blount County,0.530920302
1011,Bullock County,0.394236384
1013,Butler County,0.387395243
1015,Calhoun County,0.44022541
1017,Chambers County,0.406210529
1019,Cherokee County,0.445059387
1021,Chilton County,0.447207845
1023,Choctaw County,0.349277431
1025,Clarke County,0.335834902
1027,Clay County,0.467601392
1029,Cleburne County,0.429653254
1031,Coffee County,0.477336175
1033,Colbert County,0.469131171
1035,Conecuh County,0.305850415
1037,Coosa County,0.490541957
1039,Covington County,0.412257362
1041,Crenshaw County,0.422843853
1043,Cullman County,0.469286601
1045,Dale County,0.424189873
1047,Dallas County,0.29627273
1049,DeKalb County,0.476917674
1051,Elmore County,0.542939182
1053,Escambia County,0.358066855
1055,Etowah County,0.462193183
1057,Fayette County,0.400150415
1059,Franklin County,0.440370056
1061,Geneva County,0.398879041
1063,Greene County,0.243056485
1065,Hale County,0.339460748
1067,Henry County,0.440464548
1069,Houston County,0.420359373
1071,Jackson County,0.44559419
1073,Jefferson County,0.427132184
1075,Lamar County,0.357089722
1077,Lauderdale County,0.448073446
1079,Lawrence County,0.476762356
1081,Lee County,0.446008349
1083,Limestone County,0.511039477
1085,Lowndes County,0.280004531
1087,Macon County,0.393286996
1089,Madison County,0.526238505
1091,Marengo County,0.28316653
1093,Marion County,0.379664605
1095,Marshall County,0.418488197
1097,Mobile County,0.448594527
1099,Monroe County,0.303766097
1101,Montgomery County,0.420952967
1103,Morgan County,0.479327971
1105,Perry County,0.245208491
1107,Pickens County,0.332495612
1109,Pike County,0.357512789
1111,Randolph County,0.448627497
1113,Russell County,0.449651587
1115,St. Clair County,0.558390083
1117,Shelby County,0.635262433
1119,Sumter County,0.277242879
1121,Talladega County,0.435480126
1123,Tallapoosa County,0.407498808
1125,Tuscaloosa County,0.505823207
1127,Walker County,0.380708569
1129,Washington County,0.444700117
1131,Wilcox County,0.281619289
1133,Winston County,0.406171916
2013,Aleutians East Borough,0.720913292
2016,Aleutians West Census Area,0.833348703
2020,Anchorage Municipality,0.682110192
2050,Bethel Census Area,0.524288829
2060,Bristol Bay Borough,0.771451796
2068,Denali Borough,0.763305956
2070,Dillingham Census Area,0.569894804
2090,Fairbanks North Star Borough,0.721026095
2100,Haines Borough,0.637465455
2105,Hoonah-Angoon Census Area,0.602383219
2110,Juneau City and Borough,0.76406984
2122,Kenai Peninsula Borough,0.599796434
2130,Ketchikan Gateway Borough,0.6172883
2150,Kodiak Island Borough,0.715263471
2164,Lake and Peninsula Borough,0.57448555
2170,Matanuska-Susitna Borough,0.669990194
2180,Nome Census Area,0.495255575
2185,North Slope Borough,0.696594092
2188,Northwest Arctic Borough,0.545621889
