id,name,value
1001,Autauga County,0.515736572
1003,Baldwin County,0.521000951
1005,Barbour County,0.45951817
1007,Bibb County,0.479019353
1009,Blount County,0.497185751
1011,Bullock County,0.407306753
1013,Butler County,0.433007894
1015,Calhoun County,0.50103911
1017,Chambers County,0.45870849
1019,Cherokee County,0.489314474
1021,Chilton County,0.507727437
1023,Choctaw County,0.413219952
1025,Clarke County,0.453024458
1027,Clay County,0.447764864
1029,Cleburne County,0.433125708
1031,Coffee County,0.47830934
1033,Colbert County,0.512813104
1035,Conecuh County,0.421456915
1037,Coosa County,0.421210201
1039,Covington County,0.435198302
1041,Crenshaw County,0.418268608
1043,Cullman County,0.518713431
1045,Dale County,0.519148461
1047,Dallas County,0.452152106
1049,DeKalb County,0.506454123
1051,Elmore County,0.519733152
1053,Escambia County,0.434205787
1055,Etowah County,0.477342853
1057,Fayette County,0.486733048
1059,Franklin County,0.476969083
1061,Geneva County,0.444383643
1063,Greene County,0.396387635
1065,Hale County,0.430438591
1067,Henry County,0.475965242
1069,Houston County,0.51970529
1071,Jackson County,0.504632935
1073,Jefferson County,0.531114493
1075,Lamar County,0.473982606
1077,Lauderdale County,0.523829591
1079,Lawrence County,0.49822257
1081,Lee County,0.536299442
1083,Limestone County,0.544681103
1085,Lowndes County,0.44354948
1087,Macon County,0.412395773
1089,Madison County,0.581913953
1091,Marengo County,0.431450175
1093,Marion County,0.497364253
1095,Marshall County,0.502824374
1097,Mobile County,0.460859129
1099,Monroe County,0.432549003
1101,Montgomery County,0.513764257
1103,Morgan County,0.547431827
1105,Perry County,0.363585969
1107,Pickens County,0.463260544
1109,Pike County,0.452262862
1111,Randolph County,0.45074307
1113,Russell County,0.494730143
1115,St. Clair County,0.548943575
1117,Shelby County,0.583449281
1119,Sumter County,0.414415107
1121,Talladega County,0.476160756
1123,Tallapoosa County,0.473190045
1125,Tuscaloosa County,0.552493543
1127,Walker County,0.502780662
1129,Washington County,0.380254795
1131,Wilcox County,0.377689192
